GeneSymbol	T15	T17	T18	T20	T3	T34	T39	T4	T40	T10	T11	T12	T27	T28	T30	T35	T36	T37	T38	T5	T6	T7	T8	T9
A1BG	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARSE	6.02688728277233	6.02688728277233	6.02688728277233	6.02688728277233	6.02688728277233	6.02688728277233	6.02688728277233	6.02688728277233	6.02688728277233	6.02688728277233	6.02688728277233	6.02688728277233	6.02688728277233	6.02688728277233	6.02688728277233	6.02688728277233	6.02688728277233	6.02688728277233	6.02688728277233	6.02688728277233	6.02688728277233	6.02688728277233	6.02688728277233	6.02688728277233
ARSF	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ARSG	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARSH	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.21765715721795	1	1	1	1	1	1
ARSI	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ARSJ	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARSK	1.23191680917355	1.23191680917355	1.23191680917355	1.23191680917355	1.23191680917355	1.23191680917355	1.23191680917355	1.23191680917355	1.23191680917355	1.23191680917355	1.23191680917355	1.23191680917355	1.23191680917355	1.23191680917355	1.23191680917355	1.23191680917355	1.23191680917355	1.23191680917355	1.23191680917355	1.23191680917355	1.23191680917355	1.23191680917355	1.23191680917355	1.23191680917355
ART3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ART4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ART5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ARTN	12.7358576142469	12.7358576142469	12.7358576142469	12.7358576142469	12.7358576142469	12.7358576142469	12.7358576142469	12.7358576142469	12.7358576142469	12.7358576142469	12.7358576142469	12.7358576142469	12.7358576142469	12.7358576142469	12.7358576142469	12.7358576142469	12.7358576142469	12.7358576142469	12.7358576142469	12.7358576142469	12.7358576142469	12.7358576142469	12.7358576142469	12.7358576142469
ARV1	10.65991360802	2.15823989738127	7.73422722742385	16.5655390526639	17.0711001291281	13.9625538901069	3.84880952416167	20.3755410891487	3.63124099440217	17.8538559998482	20.4148930536	12.9377841378197	1.94969357378636	17.3194780924545	7.42771225967721	1.62394950447072	7.83621513936675	18.7765439617309	1.80330352240295	18.6939701896671	8.19123902882827	11.0386447085786	5.38094103084678	3.11337575319181
ARVCF	7.82642181459306	1.05579157076728	2.26813899805856	11.4522572013556	7.03002885235925	1.48911987469548	4.56218611736502	12.4201418785974	3.54545964184799	9.34030418223891	9.75484273040434	10.897818154376	6.73985596422783	11.0729374367305	4.99077756342505	2.58000453453419	1.95984865980843	9.50949555658621	3.00315164456665	12.2875314932792	8.55271641316357	5.28501500378057	2.21924873152117	2.69505814031106
ARX	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ASAH1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ASAH2	1	1	1.41484878828505	1	4.03934290597683	5.19677054315785	1	6.42062272081654	1	2.9113924056276	4.6731398342565	3.9209867438146	1.91177821902465	1.13841015299253	2.54524481087688	1	1	5.54061266465302	4.18123807229462	1	1	1.13959051638547	1.03289207449507	4.00886820788901
ASAH2B	3.4190546627059	1	2.28532076967515	6.00777499985553	3.08461230447124	5.93587721078658	1.87371483195797	7.76945731091283	1.52150714691061	6.18597988948748	7.70809817416439	5.44810067171194	1.2272226054885	2.8694873849802	6.26305773615912	1.20273031832704	3.12510895123364	7.08355693039708	1.18088979051069	1.62244357808137	1.55474196081089	4.99697612506266	4.34049028811462	1.26414263534759
ASAP1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ASAP2	36.0133033221328	5.07066911395209	16.9821521914088	47.0492163883595	39.3781643436383	9.69142287743932	17.6613517953092	50.5702669476502	29.6431527035752	33.0252065623287	12.5979233862823	20.9314218223177	26.3557833540152	18.4326788804013	6.48236354003582	9.46851650397751	9.37372550948063	44.484828507377	9.55765211223359	36.6954947989689	35.0827402566511	11.8260987721005	9.71987996555881	7.39318485475484
ASAP3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ASB1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ASB11	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ASB12	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ASB13	3.92891720162216	3.92891720162216	3.92891720162216	3.92891720162216	3.92891720162216	3.92891720162216	3.92891720162216	3.92891720162216	3.92891720162216	3.92891720162216	3.92891720162216	3.92891720162216	3.92891720162216	3.92891720162216	3.92891720162216	3.92891720162216	3.92891720162216	3.92891720162216	3.92891720162216	3.92891720162216	3.92891720162216	3.92891720162216	3.92891720162216	3.92891720162216
ASB14	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ASB15	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ASB16	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ASB2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ASB4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ASB6	12.7241449370609	11.660541153425	12.9033175744876	14.0478401928771	13.7657261349606	11.8103985364813	11.9370096176157	14.7103632789674	11.8148715370033	13.4833616805883	13.659459142606	12.7259215934553	12.2464447021045	12.4467506637331	13.9725875356414	11.8433652340146	11.84239299705	12.3163999234598	11.8664767449687	12.1406084642594	14.130985407014	13.6170253812973	12.1083080008734	11.8635336167744
ASB7	25.2980403463237	4.6388051149156	13.6516636152187	33.3237900683282	20.1206210583285	8.35488529351175	22.2684858152574	33.8328452932749	9.29167301814463	28.922299495978	26.973022741216	31.001560968912	5.5807518091686	14.9913753964765	10.6293052677275	6.99797465586247	7.25417785935575	32.212638001208	5.04632822407447	24.3097470228016	17.4320505302894	25.8895141634514	11.6429669513971	7.74557623840659
ASB8	16.0087481147482	7.24074283578731	18.2230063956863	27.158311562874	22.2732758005932	10.2402439209846	7.14354734483935	39.8807119409882	11.3207390736452	23.1730943455398	33.882387155683	34.5917614677278	8.46091925777078	11.0944016831929	30.4629947104288	12.411163940262	11.951616033298	33.4156004262996	10.6278769638325	16.7079828308513	18.1745814241794	23.1730943455398	8.07328621492286	11.4820347260408
ASB9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ASCC1	4.29822686012505	1.95695365534228	21.0136959002348	27.2228831150333	18.6951164810543	8.34268647828847	8.21996173031498	28.677798015275	7.68295063723065	20.2270339901121	19.6163525065521	18.0546342960487	4.09909623758995	4.08555742332814	7.24329569290992	3.55719965806447	4.98933179817932	29.9828562149613	3.59684812150965	16.7937862348645	17.0061199402482	10.0331227632623	5.64192901896137	5.49475018441246
ASCC2	18.1295979625254	18.1295979625254	18.1295979625254	18.1295979625254	18.1295979625254	18.1295979625254	18.1295979625254	18.1295979625254	18.1295979625254	18.1295979625254	18.1295979625254	18.1295979625254	18.1295979625254	18.1295979625254	18.1295979625254	18.1295979625254	18.1295979625254	18.1295979625254	18.1295979625254	18.1295979625254	18.1295979625254	18.1295979625254	18.1295979625254	18.1295979625254
ASCC3	12.4382455314988	12.4235047501425	12.5967096415566	12.5477522524135	12.5149522129579	12.4775037187757	12.5371663898911	12.490280756655	12.5568680154864	12.3802669662582	12.4537709344113	12.4757888852375	12.4349373677424	12.4487349087627	12.4846902197932	12.4167580820598	12.4744075867457	12.5315022287864	12.4395949635626	12.5764262028699	12.4837943169316	12.4691148327078	12.5704882080423	12.4388761958265
ASCL1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ASCL2	2.33741343277239	1.7229847091122	1.89793572192223	2.29190135921204	1.84263918015388	1.78370392392977	1.74598417144894	2.65692892572508	1.71575021251109	1.81442009788634	1.89097505237161	2.2435945207799	1.71244825991608	1.75683969894293	2.27967838122215	1.7298479986462	1.74077676714694	2.33411358856673	1.72402470649194	1.82561107652629	2.2753506921162	2.22500478977389	1.71090168095904	1.73465312428389
ASCL3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ASCL4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
